IATA,ICAO,Airline,Call sign,Country,Comments
,BRD,Brock Air Services,BROCK AIR,Canada,
,BRE,Breeze Ltd,AVIABREEZE,Ukraine,
,BRK,Briansk State Air Enterprise,BRIANSK-AVIA,Russia,
,BRN,Branson Airlines,BRANSON,United States,
,BRO,BASE Regional Airlines,COASTRIDER,Netherlands,
,BRS,Brazilian Air Force,BRAZILIAN AIR FORCE,Brazil,
,BRT,British Regional Airlines,BRITISH,United Kingdom,
,BRV,Bravo Air Congo,BRAVO,Democratic Republic of the Congo,defunct
,BRW,Bright Aviation Services,BRIGHT SERVICES,Bulgaria,
,BRX,Buffalo Express Airlines,BUFF EXPRESS,United States,
,BRY,Burundayavia,BURAIR,Kazakhstan,
,BSC,Bistair - Fez,BIG SHOT,Kyrgyzstan,
,BSD,Blue Star Airlines,AIRLINES STAR,Mexico,
,BSI,Brasair Transportes Aéreos,BRASAIR,Brazil,
,BSJ,Blue Swan Aviation,BLUE SWAN,United Kingdom,ICAO Code and callsign (BSJ/BLUE SWAN) withdrawn
,BSM,Blue Sky Aviation,,Lebanon,
,BSS,Bissau Aero Transporte,BISSAU AIRSYSTEM,Guinea-Bissau,
,BST,Best Air,TUNCA,Turkey,
,BSW,Blue Sky Airways,SKY BLUE,Czech Republic,
,BTH,Baltijas Helicopters,BALTIJAS HELICOPTERS,Latvia,
,BTK,Baltyka,BALTYKA,Ukraine,
,BTR,Botir-Avia,BOTIR-AVIA,Kyrgyzstan,
,GAA,Business Express,BIZEX,United States,
,BTT,BT-Slavuta,BEETEE-SLAVUTA,Ukraine,
,BUL,Blue Airlines,BLUE AIRLINES,Democratic Republic of the Congo,
,BUZ,Buzz Stansted,BUZZ,United Kingdom,
,BVA,Buffalo Airways,BUFFALO AIR,United States,
,BVC,Bulgarian Aeronautical Centre,BULGARIAN WINGS,Bulgaria,
,BVN,Baron Aviation Services,SHOW-ME,United States,
,BVU,"Bellview Airlines, Sierra Leone",,Sierra Leone,
,BWI,Blue Wing Airlines,BLUE TAIL,Suriname,
,BWL,British World Airlines,BRITWORLD,United Kingdom,
,BXA,Bahrain Executive Air Services,BEXAIR,Bahrain,
,BXH,Bar XH Air,PALLISER,Canada,
,BYA,Berry Aviation,BERRY,United States,
,BYF,San Carlos Flight Center,BAY FLIGHT,United States,
,BYL,Bylina Joint-Stock Company,BYLINA,Russia,
,BYR,Berytos Airlines,,Lebanon,
,BYE,Bayu Indonesia Air,BAYU,Indonesia,
,BZA,Bizair Fluggesellschaft,BERLIN BEAR,Germany,
,BZZ,Butane Buzzard Aviation Corporation,BUZZARD,United Kingdom,
,AUJ,Business Flight Salzburg,AUSTROJET,Austria,
,CKM,BKS Air (Rivaflecha),COSMOS,Spain,
,CLF,Bristol Flying Centre,CLIFTON,United Kingdom,
,CLN,Barnes Olsen Aeroleasing,SEELINE,United Kingdom,
,CPJ,Baltimore Air Transport,CORPJET,United States,
,EAH,Baltimore Airways,EASTERN,United States,
,EBA,Bond Aviation,BOND AVIATION,Italy,
,EXB,Brazilian Army Aviation,BRAZILIAN ARMY,Brazil,
,EXP,Business Express Delivery,EXPRESS AIR,Canada,
,FOS,Bel Limited,,Russia,
,HAW,Bangkok Aviation Center,THAI HAWK,Thailand,
,HAX,Benair,SCOOP,Norway,
,IRJ,Bonyad Airlines,BONYAD AIR,Iran,
,IVR,Burundaiavia,RERUN,Kazakhstan,
,LBY,Belle Air,ALBAN-BELLE,Albania,
,LED,Blom Geomatics,SWEEPER,Norway,
,LTL,Benin Littoral Airways,LITTORAL,Benin,
,LXJ,Bombardier Business Jet Solutions,FLEXJET,United States,
,MBR,Brazilian Navy Aviation,BRAZILIAN NAVY,Brazil,
,NYB,Belgian Navy,BELGIAN NAVY,Belgium,
,OGJ,Bakoji Airlines Services,BAKO AIR,Nigeria,
,PEB,Benders Air,PALEMA,Sweden,
,PNT,Balmoral Central Contracts,PORTNET,South Africa,
,POI,BGB Air,BOJBAN,Kazakhstan,
,PPS,Butte Aviation,PIPESTONE,United States,
,RHD,Bond Air Services,RED HEAD,United Kingdom,
,RLR,Business Airfreight,RATTLER,United States,
,RPX,BAC Express Airlines,RAPEX,United Kingdom,
,RRS,Boscombe Down DERA (Formation),BLACKBOX,United Kingdom,
,SCJ,Business Jet Sweden,SCANJET,Sweden,
,SHT,British Airways Shuttle,SHUTTLE,United Kingdom,BA domestic services
,SKH,British Sky Broadcasting,SKYNEWS,United Kingdom,
,TXB,Bell Helicopter Textron,TEXTRON,Canada,
,UKA,Buzzaway Limited,UKAY,United Kingdom,
,VLX,Biz Jet Charter,AVOLAR,United States,
,VOL,Blue Chip Jet,BLUE SPEED,Sweden,
,WFD,BAE Systems,AVRO,United Kingdom,Woodford Flight Test
,WTN,BAE Systems,TARNISH,United Kingdom,Warton Military Flight Ops
,XBO,Baseops International,,United States,
,XDA,Bureau Veritas,,France,
,XMS,British Airways Santa,SANTA,United Kingdom,Christmas charter flights
,ZBA,Boskovic Air Charters Limited,BOSKY,Kenya,
,BLM,Blue Sky Airlines,BLUE ARMENIA,Armenia,
,QAI,Conquest Air,CHICKPEA,United States,2014[2]
,CNW,Continental Airways,,Moldovoa,2014[2]
,CRF,Croix Rouge Francais,CROIX ROUGE,France,2014[2]
,CBH,Corporate Eagle Management Services,CLUB HOUSE,United States,Allocated in 2014[7]
,CCT,Connect Air,CONNECT,Canada,Allocated in 2014[8]
,CME,Commerce Bank,COMMERCE BANK,United States,(Kansas City) Allocated in 2014[9]
,CAA,Civil Aviation Authority of the Czech Republic,INSPECTOR,Czech Republic,
,BKR,Civil Air Patrol South Carolina Wing,BOX KAR,United States,
,BFN,Compagnie Nationale Naganagani,,Burkino Faso,
,AWX,Civil Aviation Authority Directorate of Airspace Policy,ALLWEATHER,United Kingdom,
,BBN,Civil Aviation Authority Airworthiness Division,BRABAZON,United Kingdom,
,ATQ,CHC Helicopters Nigeria,COLIBRI,Nigeria,
,APL,Corporativo Aereo Principal,AEREO PRINCIPAL,Mexico,
,AIO,"Chief of Staff, United States Air Force",AIR CHIEF,United States,
,AID,Christian Konig - Century Airbirds,CENTURY AIRBIRD,Austria,
,,Cambridge Recurrent Training,CAMBRIDGE,United Kingdom,
,,California Department of Forestry and Fire Protection,CALFIRE,United States,
,,Careflight Queensland,SAMARITAN,Australia,
,,Castle Air Charter,CASTLEFILM,United Kingdom,
,,Challenges Aviation,TIGER,United Kingdom,
,,Challenges Limited,HERITAGE,United Kingdom,
,,Cheqair,ASTON,United Kingdom,
,,Clacton Aero Club,CLASSIC WINGS,United Kingdom,
,,Coral Sun Airways,CORAL SUN,Kirbati,
,,Cowan Group,COWAN,United States,
,SMW,Carpatair Flight Service,SMART WINGS,Romania,Was Carpatair Flight Training
,CCL,Cambodia Airlines,ANGKOR WAT,Cambodia,
,CCB,Caricom Airways,DOLPHIN,Barbados,
,CYH,China Southern Airlines Henan,YUHAO,China,
,CFB,Chongqing Forebase General Aviation,FOREBASE,China,
,XCA,Colt Transportes Aereos,COLT,Brazil,
,GCY,CHC Global Operations International,HELIBIRD,United Kingdom,
,TIP,C and M Aviation,TRANSPAC,United States,
,SRJ,C Air Jet Airlines,SYRJET,Syrian Arab Republic,
,ORO,C N Air,CAPRI,Spain,
,RWG,C&M Airways,RED WING,United States,
,RMU,"C.S.P., Societe",AIR-MAUR,Mauritania,
,CJZ,Caliber Jet,CALIBER JET,United States,
,CRC,Cameroon Airlines Corporation,CAMAIRCO,Cameroon,
,AUN,Common Sky,COMMON SKY,Austria,
,CBI,Cabi,CABI,Ukraine,
,CPI,Compagnia Aerea Italiana,AIRCAI,Italy,
,CMR,CAM Air Management,CAMEO,United Kingdom,
,CTZ,CATA Línea Aérea,CATA,Argentina,
,CCF,CCF Manager Airline,TOMCAT,Germany,
,CED,CEDTA (Compañía Ecuatoriana De Transportes Aéreos),CEDTA,Ecuador,
,HBI,CHC Denmark,HELIBIRD,Denmark,
,HEM,CHC Helicopter,HEMS,Australia,
,HKS,CHC Helikopter Service,HELIBUS,Norway,
,VCI,CI-Tours,CI-TOURS,Ivory Coast,
,CKC,CKC Services,,United States,
,CMZ,CM Stair,CEE-EM STAIRS,Mauritania,
,CNT,Centre national d'études des télécommunications - C.N.E.T.,KNET,France,
,OAP,COAPA AIR,COAPA,Mexico,
,PDR,COMAV,SPEEDSTER,Namibia,
,CRH,CRI Helicopters Mexico,HELI-MEX,Mexico,
,IRO,CSA Air,IRON AIR,United States,
,CSE,CSE Aviation,OXFORD,United Kingdom,
,CTQ,CTK Network Aviation,CITYLINK,Ghana,
,CBR,Cabair College of Air Training,CABAIR,United Kingdom,
,CVE,Cabo Verde Express,KABEX,Cape Verde,
,CWD,Caernarfon Airworld,AMBASSADOR,United Kingdom,
,CXE,Caicos Express Airways,CAICOS,Turks and Caicos Islands,
,CCE,Cairo Air Transport Company,,Egypt,
,CGC,Cal Gulf Aviation,CAL-GULF,São Tomé and Príncipe,
,REZ,Cal-West Aviation,CAL AIR,United States,
,CSL,California Air Shuttle,CALIFORNIA SHUTTLE,United States,
,HSO,Campania Helicopteros De Transporte,HELIASTURIAS,Spain,
,PIL,Canada Jet Charters,PINNACLE,Canada,
,CTG,Canadian Coast Guard,CANADIAN COAST GUARD,Canada,
,HIA,Canadian Eagle Aviation,HAIDA,Canada,
,CFC,Canadian Forces,CANFORCE,Canada,
,BZD,Canadian Global Air Ambulance,BLIZZARD,Canada,ICAO Code and callsign no longer allocated
,CDN,Canadian Helicopters,CANADIAN,Canada,
,TKR,Canadian Interagency Forest Fire Centre,TANKER,Canada,ICAO Code and callsign no longer allocated
,XNC,Canadian National Telecommunications,,Canada,ICAO Code and callsign no longer allocated
,CDR,Canadian Regional Airlines,CANADIAN REGIONAL,Canada,ICAO Code and callsign no longer allocated
,CWH,Canadian Warplane Heritage Museum,WARPLANE HERITAGE,Canada,
,CWW,Canair,CANAIR,China,
,CUI,Cancun Air,CAN-AIR,Mexico,
,CTO,Cape Air Transport,,Australia,
,SEM,Cape Central Airways,SEMO,United States,
,CMY,Cape Smythe Air,CAPE SMYTHE AIR,United States,
,CPX,Capital Air Service,CAPAIR,United States,
,CPD,Capital Airlines,CAPITAL DELTA,Kenya,
,NCP,Capital Airlines Limited,CAPITAL SHUTTLE,Nigeria,
,CCQ,Capital City Air Carriers,CAP CITY,United States,
,EGL,Capital Trading Aviation,PRESTIGE,United Kingdom,
,CEX,Capitol Air Express,CAPITOL EXPRESS,United States,
,CWZ,Capitol Wings Airline,CAPWINGS,United States,
,VAN,Caravan Air,CAMEL,Mauritania,
,CWN,Cardiff Wales Flying Club,CAMBRIAN,United Kingdom,
,FVA,Cardinal/Air Virginia,AIR VIRGINIA,United States,
,GOL,Cardolaar,CARGOLAAR,Namibia,
,CDI,Cards Air Services,CARDS,Philippines,
,CFH,Care Flight,CARE FLIGHT,Australia,
,CDM,Carga Aérea Dominicana,CARGA AEREA,Dominican Republic,
,EST,Carga Express Internacional,CARGAINTER,Mexico,
,MCX,Cargo Express,MAURICARGO,Mauritania,
,CRV,Cargo Ivoire,CARGOIV,Ivory Coast,
,CLM,Cargo Link (Caribbean),CARGO LINK,Barbados,
,CTW,Cargo Three,THIRD CARGO,Panama,
,CGM,Cargoman,HOTEL CHARLIE,Oman,
,DEL,Carib Aviation,RED TAIL,Antigua and Barbuda,
,BCB,Carib Express,WAVEBIRD,Barbados,
,CBC,Caribair,CARIBAIR,Dominican Republic,
,DCC,Caribbean Air Cargo,CARICARGO,Barbados,
,CLT,Caribbean Air Transport,CARIBBEAN,Netherlands,ICAO Code and callsign no longer allocated
,CLT,Club Aerocelta de Vuelo Con Motor,,Spain,
,IQQ,Caribbean Airways,CARIBJET,Barbados,
,CSX,Choice Airways,CHOICE AIR,United States,
,TLC,Caribbean Express,CARIB-X,United States,
,CRB,Caricom Airways,CARIBBEAN COMMUTER,Suriname,
,CRT,Caribintair,CARIBINTAIR,Haiti,
,CVG,Carill Aviation,CARILL,United Kingdom,
,CRR,Carranza,CARRANZA,Chile,defunct
,ULS,Carroll Air Service,ULSTER,United States,
,CMT,Casement Aviation,CASEMENT,United States,
,CSO,Casino Airline,CASAIR,United States,
,CSP,Casper Air Service,CASPER AIR,United States,
,CSJ,Castle Aviation,CASTLE,United States,
,CAZ,Cat Aviation,EUROCAT,Switzerland,
,CBT,Catalina Flying Boats,CATALINA AIR,United States,
,TEX,Catex,CATEX,France,
,CJR,Caverton Helicopters,CAVERTON AIR,Nigeria,
,CIL,Cecil Aviation,CECIL,United Kingdom,
,CEG,Cega Aviation,CEGA,United Kingdom,
,CEC,Celtic Airways,CELTAIR,United Kingdom,
,CWE,Celtic West,CELTIC,United Kingdom,
,CEV,Cente D'Essais En Vol,CENTEV,France,
,CNL,Centennial Airlines,WYO-AIR,United States,
,CNS,Cobalt Air,CHRONOS,United States,
,CVO,Center Vol,CENTERVOL,Spain,
,CTS,Center-South,CENTER-SOUTH,Russia,
,CET,Centrafrican Airlines,CENTRAFRICAIN,Central African Republic,
,CAX,Central Air Express,CENTRAL EXPRESS,Democratic Republic of the Congo,
,CTL,Central Airlines,CENTRAL COMMUTER,United States,
,CNY,Central Airways,CENTRAL LEONE,Sierra Leone,
,ACN,Central American Airlines,AEROCENTRO,Nicaragua,
,YOG,Central Aviation,YOGAN AIR,United States,
,DRN,Central De Discos De Reynosa,DISCOS REYNOSA,Mexico,
,CMA,Central European Airlines,EUROCENTRAL,Czech Republic,
,CHA,Central Flying Service,CHARTER CENTRAL,United States,
,CEM,Central Mongolia Airways,CENTRAL MONGOLIA,Mongolia,
,CQC,Central Queensland Aviation College,,Australia,
,CSI,Central Skyport,SKYPORT,United States,
,CLW,Centralwings,CENTRALWINGS,Poland,
,DTV,Centre Airlines,DUTCH VALLEY,United States,
,CGS,Centre of Applied Geodynamica,GEO CENTRE,Russia,
,CCV,Centro De Helicopteros Corporativos,HELICORPORATIVO,Mexico,
,ACF,Centro de Formación Aeronáutica de Canarias,FORCAN,Spain,
,URY,Century Aviation,CENTURY AVIA,Mexico,
,HAI,Century Aviation International,,Canada,
,XAD,Certified Air Dispatch,,United States,
,CER,Cetraca Aviation Service,CETRACA,Democratic Republic of the Congo,
,IRU,Chabahar Airlines,CHABAHAR,Iran,
,CLG,Chalair Aviation,CHALLAIR,France,
,CLS,Challenge Air Transport,AIRISTO,Germany,
,CHS,Challenge Aviation,CHALLENGE AVIATION,Australia,
,OFF,Challenge International Airlines,CHALLENGE AIR,United States,
,CHG,Challenge Aero,SKY CHALLENGER,Ukraine,
,CPH,Champagne Airlines,CHAMPAGNE,France,
,NCH,Chanchangi Airlines,CHANCHANGI,Nigeria,
,CHN,Channel Island Aviation,CHANNEL,United States,
,WML,Chantilly Air,MARLIN,United States,
,CPL,Chaparral Airlines,CHAPARRAL,United States,
,CAH,Charlan Air Charter,CHARLAN,South Africa,ICAO Code and callsign no longer allocated
,HMD,Charlie Hammonds Flying Service,HAMMOND,United States,
,CGD,Charlotte Air National Guard,,United States,
,CHW,Charter Air,CHARTER WIEN,Austria,
,HRT,Chartright Air,CHARTRIGHT,Canada,
,CBB,Cheboksary Airenterprise JSC,CHEBAIR,Russia,
,CHM,Chemech Aviation,,Pakistan,
,CHZ,Cherline,CHERL,Russia,
,CMK,Chernomor-Avia,CHERAVIA,Russia,
,CBM,Cherokee Express,BLUE MAX,United States,
,CCY,Cherry Air,CHERRY,United States,
,CAB,Chesapeake Air Service,CHESAPEAKE AIR,United States,
,CVR,Chevron U.S.A,CHEVRON,United States,
,CYA,Cheyenne Airways,CHEYENNE AIR,United States,
,CGO,Chicago Air,WILD ONION,United States,
,RAT,Chief Rat Flight Services,RIVERRAT,South Africa,
,CCH,Chilchota Taxi Aéreo,CHILCHOTA,Mexico,
,DES,Chilcotin Caribou Aviation,CHILCOTIN,Canada,
,CAD,Chilliwack Aviation,CHILLIWACKAIR,Canada,
,ETN,Chim-Nir Aviation,CHMINIR,Israel,
,CFA,China Flying Dragon Aviation,FEILONG,China,
,CTH,China General Aviation Corporation,TONGHANG,China,
,CAG,China National Aviation Corporation,CHINA NATIONAL,China,
,CHC,China Ocean Helicopter Corporation,CHINA HELICOPTER,China,
,CXN,China Southwest Airlines,CHINA SOUTHWEST,China,defunct
,CGU,Chinguetti Airlines,CHINGUETTI,Mauritania,
,CEP,Chipola Aviation,CHIPOLA,United States,
,CPW,Chippewa Air Commuter,CHIPPEWA-AIR,United States,
,CAS,Christman Air System,CHRISTMAN,United States,
,OEC,Christophorus Flugrettungsverein,CHRISTOPHORUS,Austria,
,CHO,Chrome Air Services,CHROME AIR,United States,
,CHU,Church Aircraft,CHURCHAIR,United States,
,RRU,Cirrus,HELICIRRUS,Chile,defunct
,NTS,Cirrus Air,NITE STAR,United States,
,JTI,Cirrus Middle East,,Lebanon,
,FIV,CitationAir,FIVE STAR,United States,
,XCX,Citibank,,United States,
,HZX,Citic General Aviation,ZHONGXIN,China,
,XBG,City of Bangor,,United States,
,CAQ,Cityair (Chester) Limited,AIR CHESTER,United Kingdom,
,CII,Cityfly,CITYFLY,Italy,
,CNB,Cityline Hungary,CITYHUN,Hungary,
,HSR,Citylink Airlines,HOOSIER,United States,
,CIW,Civair Airways,CIVFLIGHT,South Africa,
,CAP,Civil Air Patrol,CAP,United States,
,CIA,Civil Aviation Authority,CALIMERA,Slovakia,
,CIV,Civil Aviation Authority of New Zealand,CIVAIR,New Zealand,
,CBA,Civil Aviation Inspectorate of the Czech Republic,CALIBRA,Czech Republic,
,FMC,Claessens International Limited,CLAESSENS,United Kingdom,
,CLK,Clark Aviation,CLARKAIR,United States,
,CSF,Clasair,CALEDONIAN,United Kingdom,
,CLY,Clay Lacy Aviation,CLAY-LACY,United States,
,CGK,Click Airways,CLICK AIR,Kyrgyzstan,
,CLZ,Cloud 9 Air Charters,CLOUDLINE,South Africa,
,CLD,Clowes Estates Limited,CLOWES,United Kingdom,
,SDJ,Club 328,SPACEJET,United Kingdom,
,TCL,Coastal Air Transport,TRANS COASTAL,United States,Escape Aviation
,CNG,Coastal Airways,SID-AIR,United States,
,CSV,Coastal Travels,COASTAL TRAVEL,Tanzania,
,CHL,Cohlmia Aviation,COHLMIA,United States,
,OLR,Colaéreos,COLAEREOS,Ecuador,
,CLE,Colemill Enterprises,COLEMILL,United States,
,CAE,Colibri Aviation,HUMMINGBIRD,Canada,
,CCX,Colt International,,United States,
,COL,Columbia Air,COLUMBIA AIR,Croatia,
,WCO,Columbia Helicopters,COLUMBIA HELI,United States,
,KLR,Columbus Air Transport,KAY-LER,United States,
,GHP,Colvin Aviation,GRASSHOPPER EX,United States,
,GCM,Comair Flight Services,GLOBECOM,South Africa,
,CDE,Comed Group,COMEX,United Kingdom,
,CVV,Comeravia,COMERAVIA,Venezuela,
,CRS,Comercial Aérea,COMERCIAL AEREA,Mexico,
,CMG,Comet Airlines,SUNSPY,Nigeria,
,FYN,Comfort Air,FLYNN,Germany,
,CMJ,Comfort Jet Services,COMFORT JET,Togo,
,CLA,Comlux Aviation,COMLUX,Switzerland,
,CMH,Commair Aviation,COMMODORE,United Kingdom,
,CTM,Commandement Du Transport Aerien Militaire Francais,COTAM,France,
,CML,Commander Air Charter,COMMANDAIR,Canada,
,CRM,Commander Mexicana,COMMANDERMEX,Mexico,
,CMS,Commercial Aviation,ACCESS,Canada,
,GAR,Commodore Aviation,,Australia,
,CJS,Commonwealth Jet Service,COMMONWEALTH,United States,
,CGR,Compagnia Generale Ripreseaeree,COMPRIP,Italy,
,CMM,Compagnie Aérienne du Mali,CAMALI,Mali,
,CPM,Compagnie Mauritanienne Des Transports,,Mauritania,
,GIC,Compagnie de Bauxites de Guinee,CEBEGE,Guinea,
,AIF,Compañía Aérea de Valencia,,Spain,
,ATF,Compañía Aerotécnicas Fotográficas,AEROTECNICAS,Spain,
,LCT,Compañía De Actividades Y Servicios De Aviación,STELLAIR,Spain,
,EJV,Compania Ejecutiva,EJECUTIVA,Mexico,
,HSE,Compania Helicopteros Del Sureste,HELISURESTE,Spain,
,MDR,Compania Mexicana De Aeroplanos,AEROPLANOS,Mexico,
,HSS,Compañía Transportes Aéreos Del Sur,TAS HELICOPTEROS,Spain,
,TAV,Compañía de Servicios Aéreos Tavisa,TAVISA,Spain,
,CYF,Company Flight,COMPANY FLIGHT,Denmark,
,CPS,Compass International Airways,COMPASS,United Kingdom,
,XCO,Compuflight Operations Service,,United States,
,XCS,Compuserve Incorporated,,United States,
,CRC,Conair Aviation,CONAIR-CANADA,Canada,
,COD,Concordavia,CONCORDAVIA,Ukraine,
,CNR,Condor Aero Services,CONAERO,United States,
,CIB,Condor,CONDOR BERLIN,Germany,
,COF,Confort Air,CONFORT,Canada,
,CAK,Congo Air,,Bahamas,
,CGA,Congressional Air,CONGRESSIONAL,United States,
,ROY,Conifair Aviation,,Canada,
,BSN,Connectair Charters,BASTION,Canada,
,CAC,Conquest Airlines,CONQUEST AIR,United States,
,CXO,Conroe Aviation Services,CONROE AIR,United States,
,VCH,Consorcio Helitec,CONSORCIO HELITEC,Venezuela,
,UZA,Constanta Airline,CONSTANTA,Ukraine,
,KIS,Contactair,CONTACTAIR,Germany,
,XCL,Contel ASC,,United States,
,CON,Continental Oil,CONOCO,United States,
,CKA,Cook Inlet Aviation,COOK-AIR,United States,
,SVY,Cooper Aerial Surveys,SURVEYOR,United Kingdom,
,CAT,Copenhagen Air Taxi,AIRCAT,Denmark,
,COP,Copper State Air Service,COPPER STATE,United States,
,AAQ,Copterline,COPTERLINE,Finland,Former name: Copter Action; former callsign: COPTER ACTION
,CRA,Coronado Aerolíneas,CORAL,Colombia,
,CPB,Corpac Canada,PENTA,Canada,
,CNC,Corporación Aéreo Cencor,CENCOR,Mexico,
,CPG,Corporacion Aeroangeles,CORPORANG,Mexico,
,CGY,Corporacion Paraguaya De Aeronautica,,Paraguay,
,CPT,Corporate Air,AIR SPUR,United States,
,CPR,Corporate Air,CORPAIR,United States,
,CPO,Corporate Aircraft Company,MOKAN,United States,
,COO,Corporate Airlink,CORPORATE,Canada,
,CKE,Corporate Aviation Services,CHECKMATE,United States,
,VHT,Corporate Flight International,VEGAS HEAT,United States,
,VTE,Corporate Flight Management,VOLUNTEER,United States,
,CJI,Corporate Jets,SEA JET,United States,
,COT,Costa Airlines,,Venezuela,Callsign was COAIR
,CHI,Cougar Helicopters,COUGAR,Canada,
,MGB,Coulson Flying Service,MOCKINGBIRD,United Kingdom,
,NSW,Country Connection Airlines,,Australia,
,CIK,Country International Airlines,COUNTRY AIR,Kyrgyzstan,
,CSD,Courier Services,DELIVERY,United States,
,CUT,Court Helicopters,COURT AIR,South Africa,
,OU,Court Line,COURTLINE,United Kingdom,defuct
,CVL,Coval Air,COVAL,Canada,
,COW,Cowi,COWI,Netherlands,
,CFD,Cranfield University,AERONAUT,United Kingdom,
,CRE,Cree Airways,CREE AIR,Canada,
,ELM,Crelam,CRELAM,Mexico,
,CAN,Crest Aviation,CREST,United Kingdom,
,KRM,Crimea Universal Avia,TRANS UNIVERSAL,Ukraine,
,HRZ,Croatian Air Force,CROATIAN AIRFORCE,Croatia,
,CRX,Cross Aviation,CROSSAIR,United Kingdom,
,CWX,Crow Executive Air,CROW EXPRESS,United States,
,CKR,Crown Air Systems,CROWN AIR,United States,
,CRO,Crown Airways,CROWN AIRWAYS,United States,
,CRW,Crownair,REGAL,Canada,
,VCR,Cruiser Linhas Aéreas,VOE CRUISER,Brazil,
,CTY,Cryderman Air Service,CENTURY,United States,
,CYT,Crystal Shamrock,CRYSTAL-AIR,United States,
,CTF,Cutter Aviation,CUTTER FLIGHT,United States,
,CBL,Cumberland Airways (Nicholson Air Service),CUMBERLAND,United States,
,CTT,Custom Air Transport,CATT,United States,
,RGN,Cygnus Air,CYGNUS AIR,Spain,
,CYC,Cyprair Tours,CYPRAIR,Cyprus,
,CYS,Cypress Airlines,SKYBIRD,Canada,
,CEF,Czech Air Force,CZECH AIR FORCE,Czech Republic,
,AHD,Czech Air Handling,AIRHANDLING,Czech Republic,
,CIE,Czech Government Flying Service,CZECHIA,Czech Republic,
,DJT,Dreamjet,DREAMJET,France,2014[2]
,DPJ,Delta Private Jets,JET CARD,United States,Changed from ELJ/ELITE JET in 2014[10]
,DJR,Desert Jet,DESERT FLIGHT,United States,
,DLC,Dehong South Asian General Aviation,SOARCOPTER,China,Was Ruili Jingcheng Helicopters
,DNS,Dniproaviaservis Company,,Ukraine,
,DRF,Dream Flyers Training Center,,Spain,
,DMF,DMCFLY,DEMLY,Mexico,
,NAU,Danaus Lineas Aereas,DANAUS,Mexico,
,GDF,DF Aviation,,Ukraine,
,DDA,D & D Aviation,DUSTY,United States,
,DNK,D&K Aviation,DIRECT JET,United States,
,DHE,DAP Helicopteros,HELIDAP,Chile,
,VLF,DFS UK Limited,VOLANTE,United Kingdom,
,RKC,DAS Airlines,DAS CONGO,Democratic Republic of the Congo,
,ENT,DAT Enterprise Limited,DATENT,United Kingdom,defunct
,BDN,DERA Boscombe Down,GAUNTLET,United Kingdom,
,DSN,DESNA,DESNA,Ukraine,
,DET,DETA Air,SAMAL,Kazakhstan,
,DGO,DGO Jet,DGO JET,Mexico,
,DAE,DHL Aero Expreso,YELLOW,Panama,
,DHK,DHL Air,WORLD EXPRESS,United Kingdom,
,DHV,DHL Aviation,WORLDSTAR,South Africa,
,RSK,DSWA,REDSKIN,United States,
,DHA,Dahla Airlines,,Democratic Republic of Congo,
,DCS,Daimler Chrysler Aviation,TWIN STAR,Germany,
,DCX,Daimler-Chrysler,DAIMLER,United States,
,DKA,Daka,,Kazakhstan,
,DLR,Dala Air Services,DALA AIR,Nigeria,
,DXP,Dallas Express Airlines,DALLAS EXPRESS,United States,
,DAS,Damascene Airways,AIRDAM,Syrian Arab Republic,
,DSA,Danbury Airways,DANBURY AIRWAYS,United States,
,DOP,Dancopter,DANCOPTER,Denmark,
,DAF,Danish Air Force,DANISH AIRFORCE,Denmark,
,DAR,Danish Army,DANISH ARMY,Denmark,
,DNY,Danish Navy,DANISH NAVY,Denmark,
,DNU,Danu Oro Transportas,DANU,Lithuania,
,DRT,Darta,DARTA,France,
,DSQ,Dasab Airlines,DASAB AIR,Uganda,
,DSH,Dash Air Charter,DASH CHARTER,United States,
,GOB,Dash Aviation,PILGRIM,United Kingdom,
,DGX,Dasnair,DASNA,Switzerland,
,DAB,Dassault Aviation,,France,
,CVF,Dassault Falcon Jet Corporation,CLOVERLEAF,United States,
,DSO,Dassault Falcon Service,DASSAULT,France,
,DTN,Data International,DATA AIR,Sudan,
,XDT,Date Transformation Corp,,United States,
,DCO,David Crawshaw Consultants Limited,,United Kingdom,
,DWN,Dawn Air,DAWN AIR,United States,
,DJS,DayJet,DAYJET,United States,
,DAY,Daya Aviation,DAYA,Sri Lanka,
,DHC,De Havilland,DEHAVILLAND,Canada,
,IAY,Deadalos Flugtbetriebs,IASON,Austria,
,DAA,Decatur Aviation,DECUR,United States,
,DKN,Deccan Charters,DECCAN,India,
,DER,Deer Jet,DEER JET,China,
,JDC,Deere and Company,JOHN DEERE,United States,
,DWR,Delaware Skyways,DELAWARE,United States,
,DEA,Delta Aerotaxi,JET SERVICE,Italy,
,SNO,Delta Air Charter,SNOWBALL,Canada,
,ELJ,Delta Private Jets,ELITE JET,United States,Changed to DPJ/JET CARD in 2014[10]
,KMB,Delta Engineering Aviation,KEMBLEJET,United Kingdom,
,DLI,Delta Express International,DELTA EXPRESS,Ukraine,
,DSU,Delta State University,DELTA STATE,United States,
,FEC,Denver Express,FALCON EXPRESS,United States,
,DJT,Denver Jet,DENVER JET,United States,
,FGC,Departament d'Agricultura de la Generalitat de Catalunya,FORESTALS,Spain,
,DRY,Deraya Air Taxi,DERAYA,Indonesia,
,DRX,Des R Cargo Express,,Mauritania,
